Country,Date,Year,Month,Industrial_Index,Agricultural_Index
Brazil,2020-01-01,2020,1,99.35435897435897,128.3373997908679
Brazil,2020-02-01,2020,2,99.85435897435897,128.3373997908679
Brazil,2020-03-01,2020,3,96.25435897435898,128.3373997908679
Brazil,2020-04-01,2020,4,72.45435897435897,117.11397699546879
Brazil,2020-05-01,2020,5,78.35435897435897,117.11397699546879
Brazil,2020-06-01,2020,6,91.45435897435897,117.11397699546879
Brazil,2020-07-01,2020,7,97.55435897435898,96.61903102126176
Brazil,2020-08-01,2020,8,97.75435897435898,96.61903102126176
Brazil,2020-09-01,2020,9,104.05435897435898,96.61903102126176
Brazil,2020-10-01,2020,10,100.45435897435897,65.8766120599512
Brazil,2020-11-01,2020,11,102.75435897435898,65.8766120599512
Brazil,2020-12-01,2020,12,108.45435897435897,65.8766120599512
Brazil,2021-01-01,2021,1,102.55435897435898,133.70512373649353
Brazil,2021-02-01,2021,2,100.45435897435897,133.70512373649353
Brazil,2021-03-01,2021,3,110.65435897435897,133.70512373649353
Brazil,2021-04-01,2021,4,134.95435897435897,115.16207737887767
Brazil,2021-05-01,2021,5,124.25435897435898,115.16207737887767
Brazil,2021-06-01,2021,6,112.25435897435898,115.16207737887767
Brazil,2021-07-01,2021,7,101.55435897435898,89.78738236319273
Brazil,2021-08-01,2021,8,99.55435897435898,89.78738236319273
Brazil,2021-09-01,2021,9,96.05435897435898,89.78738236319273
Brazil,2021-10-01,2021,10,92.35435897435897,69.7804112931335
Brazil,2021-11-01,2021,11,95.75435897435898,69.7804112931335
Brazil,2021-12-01,2021,12,95.15435897435897,69.7804112931335
Uruguay,2018-10-01,2018,10,117.16974358974359,130.85392708588208
Uruguay,2018-11-01,2018,11,99.36974358974359,130.85392708588208
Uruguay,2018-12-01,2018,12,88.86974358974359,130.85392708588208
Uruguay,2019-01-01,2019,1,98.96974358974359,91.46072914117934
Uruguay,2019-02-01,2019,2,95.16974358974359,91.46072914117934
Uruguay,2019-03-01,2019,3,92.16974358974359,91.46072914117934
Uruguay,2019-04-01,2019,4,98.0697435897436,117.49449473941766
Uruguay,2019-05-01,2019,5,95.16974358974359,117.49449473941766
Uruguay,2019-06-01,2019,6,87.76974358974358,117.49449473941766
Uruguay,2019-07-01,2019,7,97.66974358974359,76.38854905798874
Uruguay,2019-08-01,2019,8,101.76974358974358,76.38854905798874
Uruguay,2019-09-01,2019,9,101.96974358974359,76.38854905798874
Uruguay,2019-10-01,2019,10,89.86974358974359,112.69880107658427
Uruguay,2019-11-01,2019,11,95.86974358974359,112.69880107658427
Uruguay,2019-12-01,2019,12,101.46974358974359,112.69880107658427
Uruguay,2020-01-01,2020,1,94.66974358974359,81.18424272082211
Uruguay,2020-02-01,2020,2,96.36974358974359,81.18424272082211
Uruguay,2020-03-01,2020,3,102.65974358974358,81.18424272082211
Uruguay,2020-04-01,2020,4,78.36974358974359,105.50526058233423
Uruguay,2020-05-01,2020,5,78.06974358974358,105.50526058233423
Uruguay,2020-06-01,2020,6,96.86974358974359,105.50526058233423
Uruguay,2020-07-01,2020,7,92.36974358974359,75.01835086860777
Uruguay,2020-08-01,2020,8,87.76974358974358,75.01835086860777
Uruguay,2020-09-01,2020,9,95.76974358974358,75.01835086860777
Uruguay,2020-10-01,2020,10,102.65974358974358,105.16271103498897
Uruguay,2020-11-01,2020,11,86.96974358974359,105.16271103498897
Uruguay,2020-12-01,2020,12,99.0697435897436,105.16271103498897
Uruguay,2021-01-01,2021,1,97.36974358974359,88.37778321507218
Uruguay,2021-02-01,2021,2,97.46974358974359,88.37778321507218
Uruguay,2021-03-01,2021,3,101.36974358974359,88.37778321507218
Uruguay,2021-04-01,2021,4,122.56974358974358,105.50526058233423
Uruguay,2021-05-01,2021,5,120.56974358974358,105.50526058233423
Uruguay,2021-06-01,2021,6,117.46974358974359,105.50526058233423
Uruguay,2021-07-01,2021,7,116.36974358974359,85.29483728896501
Uruguay,2021-08-01,2021,8,111.66974358974359,85.29483728896501
Uruguay,2021-09-01,2021,9,109.86974358974359,85.29483728896501
Uruguay,2021-10-01,2021,10,104.5697435897436,133.594323464644
Uruguay,2021-11-01,2021,11,118.7697435897436,133.594323464644
Uruguay,2021-12-01,2021,12,108.96974358974359,133.594323464644
